framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,256,0.00898
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,512,0.00908
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,1024,0.00906
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,2048,0.00937
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,4096,0.01047
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,8192,0.01143
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,16384,0.011970000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,32768,0.01252
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,65536,0.012369999999999999
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,131072,0.01357
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,262144,0.01561
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,524288,0.01995
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,1048576,0.0381
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,2097152,0.04328
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,4194304,0.05972
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,8388608,0.09344
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,16777216,0.1537
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,33554432,0.26630000000000004
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,67108864,0.4964
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,134217728,0.9390000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,2,268435456,1.7898
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,512,0.00901
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,1024,0.00908
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,2048,0.00914
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,4096,0.009300000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,8192,0.01047
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,16384,0.011640000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,32768,0.0121
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,65536,0.01234
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,2,131072,0.012490000000000001
