framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,64,1,16,1,0,0.018432000031073887
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,8,1,16,8,0,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,2,1,16,32,0,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,32,1,16,2,0,0.015530666957298914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,4,1,16,16,0,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,16,1,16,4,0,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,1,1,16,64,0,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,64,1,16,1,0,0.018432000031073887
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,8,1,16,8,0,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,32,1,16,2,0,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,4,1,16,16,0,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,2,1,16,32,0,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,16,1,16,4,0,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,64,1,32,1,0,0.01826133330663045
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,float16,1,1,16,64,0,0.015872000406185787
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,32,1,32,2,0,0.015530666957298914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,8,1,32,8,0,0.01621333385507266
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,4,1,32,16,0,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,16,1,32,4,0,0.015530666957298914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_context,default,float16,fp8,2,1,32,32,0,0.015360000232855478
