framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,4096,16.763904571533203
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,3584,14.730239868164062
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,5120,20.84351921081543
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,8192,33.139713287353516
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,2560,10.654720306396484
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,2048,8.6179838180542
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,7168,29.086719512939453
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,3072,12.692480087280273
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,128,1.1325440406799316
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,512,2.515968084335327
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,256,1.58515202999115
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,1024,4.54860782623291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,1536,6.593535900115967
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,10240,41.20064163208008
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,16384,8192,8.3056640625
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,16384,10240,10.313728332519531
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,16384,16384,16.42803192138672
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,gemm,trt_flow_/weight_only_quant_matmul_L257/PLUGIN_V2_WeightOnlyQuantMatmul_0,int8_wo,8192,65536,16384,65.6394271850586
