framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,3,0.03874133278926214
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,7,0.03976533313592275
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,1,0.03737599899371465
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,15,0.04983466863632202
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,63,0.056661332647005715
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,31,0.05034666756788889
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,255,0.12168533603350322
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,1023,0.6253226598103842
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,511,0.3199999928474426
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,127,0.0769706666469574
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,1,0.010922666639089584
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,2047,1.2339200178782146
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,3,0.011434666812419891
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,7,0.01109333336353302
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,32,1,64,64,128,0,1,float16,float16,4095,2.4432640075683594
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,15,0.011605333536863327
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,31,0.012458667159080505
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,63,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,127,0.0145066666106383
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,255,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,1,1,64,64,128,0,1,float16,float16,511,0.03362133353948593
