2025-10-07 23:30:23,455|INFO|root|main|Starting collection with 8 GPU processes
2025-10-07 23:30:33,717|INFO|root|collect_trtllm|TensorRT LLM version: 1.0.0
2025-10-07 23:30:33,746|INFO|root|collect_module_safe|Starting collection: trtllm.attention_context
2025-10-07 23:30:33,767|INFO|root|collect_module_safe|Generated 9800 test cases for trtllm.attention_context
2025-10-07 23:30:35,519|INFO|root|start_process|Started worker process 513 on device 0
2025-10-07 23:30:35,521|INFO|root|start_process|Started worker process 514 on device 1
2025-10-07 23:30:35,523|INFO|root|start_process|Started worker process 515 on device 2
2025-10-07 23:30:35,524|INFO|root|start_process|Started worker process 516 on device 3
2025-10-07 23:30:35,526|INFO|root|start_process|Started worker process 517 on device 4
2025-10-07 23:30:35,528|INFO|root|start_process|Started worker process 518 on device 5
2025-10-07 23:30:35,529|INFO|root|start_process|Started worker process 519 on device 6
2025-10-07 23:30:35,531|INFO|root|start_process|Started worker process 520 on device 7
2025-10-07 23:30:47,290|INFO|Worker-worker_6|worker|Worker 6 initialized for trtllm.attention_context
2025-10-07 23:30:47,396|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_80453_[8, 16384, 96, 1, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,405|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_34051_[8, 16384, 96, 2, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,413|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_18385_[8, 16384, 96, 4, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,420|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_66764_[8, 16384, 96, 8, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,427|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_65884_[4, 16384, 96, 96, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,434|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_31461_[4, 16384, 96, 1, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,439|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_2508_[4, 16384, 96, 2, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,444|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_52684_[4, 16384, 96, 4, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,450|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_50197_[4, 16384, 96, 8, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,454|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_15896_[2, 16384, 96, 96, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,459|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_38957_[2, 16384, 96, 1, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,464|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_55157_[2, 16384, 96, 2, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,468|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_41414_[2, 16384, 96, 4, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,473|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_39120_[2, 16384, 96, 8, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,477|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_15135_[1, 16384, 96, 96, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,481|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_95519_[1, 16384, 96, 1, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,485|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_83377_[1, 16384, 96, 2, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:30:47,490|ERROR|Worker-worker_6|worker|Task trtllm.attention_context_run_attention_torch_27300_[1, 16384, 96, 4, 64, 0, False, False, True, 'context_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
