2025-10-07 23:32:24,174|INFO|root|main|Starting collection with 8 GPU processes
2025-10-07 23:32:34,152|INFO|root|collect_trtllm|TensorRT LLM version: 1.0.0
2025-10-07 23:32:34,179|INFO|root|collect_module_safe|Starting collection: trtllm.attention_generation
2025-10-07 23:32:34,195|INFO|root|collect_module_safe|Generated 10052 test cases for trtllm.attention_generation
2025-10-07 23:32:35,900|INFO|root|start_process|Started worker process 3091 on device 0
2025-10-07 23:32:35,902|INFO|root|start_process|Started worker process 3092 on device 1
2025-10-07 23:32:35,904|INFO|root|start_process|Started worker process 3093 on device 2
2025-10-07 23:32:35,906|INFO|root|start_process|Started worker process 3094 on device 3
2025-10-07 23:32:35,907|INFO|root|start_process|Started worker process 3095 on device 4
2025-10-07 23:32:35,909|INFO|root|start_process|Started worker process 3096 on device 5
2025-10-07 23:32:35,910|INFO|root|start_process|Started worker process 3097 on device 6
2025-10-07 23:32:35,912|INFO|root|start_process|Started worker process 3098 on device 7
2025-10-07 23:32:48,208|INFO|Worker-worker_3|worker|Worker 3 initialized for trtllm.attention_generation
2025-10-07 23:32:48,339|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_76636_[32, 1, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,347|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_73173_[32, 3, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,352|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_15583_[32, 7, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,362|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_23189_[32, 15, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,368|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_34400_[32, 31, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,375|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_36448_[32, 63, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,380|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_80289_[32, 127, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,388|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_42119_[32, 255, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,395|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_66309_[32, 511, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,402|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_81343_[32, 1023, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,412|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_38963_[32, 2047, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
2025-10-07 23:32:48,424|ERROR|Worker-worker_3|worker|Task trtllm.attention_generation_run_attention_torch_69048_[32, 4095, 64, 64, 64, 0, False, False, False, 'generation_attention_perf.txt'] failed: RuntimeError: cannot pin 'torch.cuda.IntTensor' only dense CPU tensors can be pinned
