framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,1,64,0,1,float16,float16,0,103.5127461751302
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,2,64,0,1,float16,float16,0,103.5328877766927
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,4,64,0,1,float16,float16,0,103.48595174153645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,1,64,0,1,float16,float16,0,51.922261555989586
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,float16,0,206.38277180989584
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,float16,0,206.3563028971354
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,16384,96,2,64,0,1,float16,float16,0,206.4274698893229
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,2,64,0,1,float16,float16,0,51.98438517252604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,8,64,0,1,float16,float16,0,103.70389811197917
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,96,64,0,1,float16,float16,0,52.50645446777344
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,16384,96,8,64,0,1,float16,float16,0,206.6624755859375
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,96,64,0,1,float16,float16,0,104.61440022786458
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,1,64,0,1,float16,float16,0,26.62195078531901
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,4,64,0,1,float16,float16,0,26.648234049479168
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,8,64,0,1,float16,float16,0,26.57587178548177
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,2,64,0,1,float16,float16,0,26.608469645182293
