HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.8,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.8'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.8,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.8'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.8.post1,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.8.post1'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.8.post1,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.8.post1'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.9'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='sglang', version='0.5.9'. Supported gemm modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.0.0,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='trtllm', version='1.0.0'. Supported gemm modes: ['float16', 'int4_wo', 'int8_wo', 'sq']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.0.0,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 894, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='a100_sxm', backend='trtllm', version='1.0.0'. Supported gemm modes: ['float16', 'int4_wo', 'int8_wo', 'sq']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.2.0rc5,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 915, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 903, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported moe quant mode 'fp8_block' for system='a100_sxm', backend='trtllm', version='1.2.0rc5'. Supported moe modes: ['float16']\n"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.2.0rc5,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 204, in run_single_test\n    task_config = TaskConfig(**task_config_kwargs)\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 767, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 919, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 903, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode)\n  File ""src/aiconfigurator/sdk/task.py"", line 816, in _supported_or_raise\n    raise ValueError(\nValueError: Unsupported moe quant mode 'fp8_block' for system='a100_sxm', backend='trtllm', version='1.2.0rc5'. Supported moe modes: ['float16']\n"
